Qty,Value,Device,Package,Parts,Description,MF,MPN
2,2X5,CON10L,CON10L,"CON1, CON2",Connector,,
1,JACK-PLUG1,JACK-PLUG1,SPC4078,J2,DC power jack,,
1,1X2,PINHD-1X2,1X2,JP1,Pin header,,
4,W237-102,W237-102,W237-102,"X1, X2, X3, X4",Screw terminal,,
6,100n,C-EUC0603,C0603,"C1, C2, C4, C6, C8, C14",Capacitor,,
3,10k,R-EU_R0603,R0603,"R8, R9, R10",Resistor,,
2,10n,C-EUC0603,C0603,"C12, C13",Capacitor,,
4,10u,CPOL-EUE2.5-7,"E2,5-7","C3, C5, C7, C11",Polarized capacitor,,
1,10u,L-EU0603,C1608,L1,Inductor,,
1,120,R-EU_R0603,R0603,R6,Resistor,,
2,18p,C-EUC0603,C0603,"C9, C10",Capacitor,,
6,1k,R-EU_R0603,R0603,"R1, R2, R3, R15, R16, R17",Resistor,,
1,"2,7k",R-EU_R0603,R0603,R7,Resistor,,
2,20k,R-EU_R0603,R0603,"R4, R5",Resistor,,
4,"49,9",R-EU_R0603,R0603,"R11, R12, R13, R14",Resistor,,
1,CSM-7X-DU,CSM-7X-DU,CSM-7X-DU,Q2,Resonator 25 MHz,,
1,ENC28J60-SO,ENC28J60-SO,SO28W,U2,Ethernet contoller,,
1,LD1117DT50CTR,LD117ADT50TR,DPACK,IC1,Low Dropout Regulator,,
1,LMJ201881X130DL,LMJ201881X130DL,LMJ20188X130,X5,RJ45 Socket,,
1,SP485EE,MAX481CSA,SO08,IC3,RS485 Transeiver,,
1,MEGA328P-AU,MEGA8MEGA328P-AU-AI,TQFP32-08,IC5,Microcontroller,,
1,NCP1117DT33G,LD117ADT33TR,DPACK,IC2,Low Dropout Regulator,,
1,CSTCE16M0V53C-R0,RESONATOR_CSTCE_V_C,CSTCE_V_C,Q1,Resonator 16 MHz,,
